Data Source,World Development Indicators,,,,,,,
Last Updated Date,10/7/25,,,,,,,
Country Name,Country Code,Indicator Name,2019,2020,2021,2022,2023,2024
Tonga,TON,GDP growth (annual %),-0.208433391,1.783395899,0.362604273,-2.309864445,2.084155836,
South Asia (IDA & IBRD),TSA,GDP growth (annual %),4.094543065,-4.987501736,9.246599597,7.101153926,8.505117854,6.224842254
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP growth (annual %),2.696697023,-1.994293579,4.314825749,3.750658318,2.574661538,3.428437595
Trinidad and Tobago,TTO,GDP growth (annual %),0.471813384,-8.90279446,-0.911992867,1.08222234,1.427113398,1.650603346
Tunisia,TUN,GDP growth (annual %),1.587846655,-9.011934124,4.736320748,2.673318218,0.039156567,1.350652535
Turkiye,TUR,GDP growth (annual %),0.818514527,1.85987304,11.43939569,5.533427875,5.111168185,3.184024355
Tuvalu,TUV,GDP growth (annual %),13.82209844,-4.274932069,1.804135911,0.677309361,3.852809195,
Tanzania,TZA,GDP growth (annual %),5.8,1.991964606,4.321384295,4.566005764,5.069523532,5.526313831
Uganda,UGA,GDP growth (annual %),6.438745033,2.951306422,3.536580341,4.588021922,5.336972955,6.136452018
Ukraine,UKR,GDP growth (annual %),3.199503864,-3.75281794,3.445620659,-28.75858422,5.534733547,2.913822215
Upper middle income,UMC,GDP growth (annual %),4.164289727,-0.398382934,7.698365196,3.425056159,4.584982081,4.154262263
Uruguay,URY,GDP growth (annual %),0.928351141,-7.357327065,5.844273126,4.486227031,0.742128785,3.108254781
United States,USA,GDP growth (annual %),2.58382533,-2.163029139,6.055052933,2.51237532,2.887556009,2.796190356
Uzbekistan,UZB,GDP growth (annual %),6.779923997,1.563342773,8.034683126,6.001342322,6.291416351,6.5
St. Vincent and the Grenadines,VCT,GDP growth (annual %),0.668428481,-4.268924344,2.093401245,3.110833003,5.326364721,4.061834901
"Venezuela, RB",VEN,GDP growth (annual %),,,,,,
British Virgin Islands,VGB,GDP growth (annual %),,,,,,
Virgin Islands (U.S.),VIR,GDP growth (annual %),2.908335497,-1.614938178,3.667607079,-1.311232063,,
Viet Nam,VNM,GDP growth (annual %),7.359262701,2.865413209,2.553728526,8.537500468,5.065023915,7.091187466
Vanuatu,VUT,GDP growth (annual %),3.241187655,-4.992491429,-1.552294891,5.186228624,-0.964792282,3.967258306
World,WLD,GDP growth (annual %),2.71004016,-2.849082347,6.419541277,3.359911383,2.943332731,2.863263026
Samoa,WSM,GDP growth (annual %),4.451858917,-3.108444011,-7.078830943,-5.3062909,9.20864924,9.422350442
Kosovo,XKX,GDP growth (annual %),4.75680057,-5.340275478,10.74565608,4.278498958,4.067627014,4.412738288
"Yemen, Rep.",YEM,GDP growth (annual %),,,,,,
South Africa,ZAF,GDP growth (annual %),0.259935577,-6.168917715,4.955032594,1.91147996,0.698485194,0.579853692
Zambia,ZMB,GDP growth (annual %),1.441306026,-2.785055065,6.234922047,5.211223604,5.367942855,4.043148299
Zimbabwe,ZWE,GDP growth (annual %),-6.332449751,-7.816932841,8.468039169,6.139176174,5.336770373,2.029484143
